Date Time, Monitor ID, Location ID, CO2(ppm), NO2(ppm), PM10(ppm), PM2.5(ppm)
18/05/2022 15:12,1,1,399, , , 
18/05/2022 15:12,1,2, , ,0,0
18/05/2022 15:13,1,1,399, , , 
18/05/2022 15:13,1,2, , ,0,0
18/05/2022 15:14,1,1,401, , , 
18/05/2022 15:14,1,2, , ,0.001,0.001
18/05/2022 15:15,1,1,401, , , 
18/05/2022 15:15,1,2, , ,0,0
18/05/2022 15:16,1,1,399, , , 
18/05/2022 15:16,1,2, , ,0.001,0.001
18/05/2022 15:17,1,1,399, , , 
18/05/2022 15:17,1,2, , ,0.001,0.001
18/05/2022 15:18,1,1,396, , , 
18/05/2022 15:18,1,2, , ,0.002,0.001
18/05/2022 15:19,1,1,396, , , 
18/05/2022 15:19,1,2, , ,0,0
18/05/2022 15:20,1,1,396, , , 
18/05/2022 15:20,1,2, , ,0.002,0.001
18/05/2022 15:21,1,1,401, , , 
18/05/2022 15:21,1,2, , ,0,0
18/05/2022 15:22,1,1,404, , , 
18/05/2022 15:22,1,2, , ,0.002,0.001
18/05/2022 15:23,1,1,401, , , 
18/05/2022 15:23,1,2, , ,0,0
18/05/2022 15:24,1,1,401, , , 
18/05/2022 15:24,1,2, , ,0,0
18/05/2022 15:25,1,1,401, , , 
18/05/2022 15:25,1,2, , ,0.001,0.001
18/05/2022 15:26,1,1,399, , , 
18/05/2022 15:26,1,2, , ,0,0
18/05/2022 15:27,1,1,399, , , 
18/05/2022 15:27,1,2, , ,0.001,0.001
18/05/2022 15:28,1,1,396, , , 
18/05/2022 15:28,1,2, , ,0.001,0
18/05/2022 15:29,1,1,396, , , 
18/05/2022 15:29,1,2, , ,0.001,0
18/05/2022 15:30,1,1,399, , , 
18/05/2022 15:30,1,2, , ,0.001,0.001
18/05/2022 15:31,1,1,401, , , 
18/05/2022 15:31,1,2, , ,0.001,0.001
18/05/2022 15:32,1,1,399, , , 
18/05/2022 15:32,1,2, , ,0.001,0.001
18/05/2022 15:33,1,1,399, , , 
18/05/2022 15:33,1,2, , ,0.008,0.001
18/05/2022 15:34,1,1,401, , , 
18/05/2022 15:34,1,2, , ,0.001,0.001
18/05/2022 15:35,1,1,401, , , 
18/05/2022 15:35,1,2, , ,0,0
18/05/2022 15:36,1,1,401, , , 
18/05/2022 15:36,1,2, , ,0.001,0
18/05/2022 15:37,1,1,401, , , 
18/05/2022 15:37,1,2, , ,0.001,0.001
18/05/2022 15:38,1,1,401, , , 
18/05/2022 15:38,1,2, , ,0.002,0.001
18/05/2022 15:39,1,1,401, , , 
18/05/2022 15:39,1,2, , ,0.001,0.001
18/05/2022 15:44,1,1,394, , , 
18/05/2022 15:45,1,1,391, , , 
18/05/2022 15:45,1,2, , ,0,0
18/05/2022 15:46,1,1,396, , , 
18/05/2022 15:46,1,2, , ,0.002,0.001
18/05/2022 15:47,1,1,396, , , 
18/05/2022 15:47,1,2, , ,0,0
18/05/2022 15:48,1,1,396, , , 
18/05/2022 15:48,1,2, , ,0.001,0.001
18/05/2022 15:49,1,1,396, , , 
18/05/2022 15:49,1,2, , ,0,0
18/05/2022 15:50,1,1,391, , , 
18/05/2022 15:50,1,2, , ,0,0
18/05/2022 15:51,1,1,391, , , 
18/05/2022 15:51,1,2, , ,0,0
18/05/2022 15:52,1,1,391, , , 
18/05/2022 15:52,1,2, , ,0.001,0.001
18/05/2022 15:53,1,1,391, , , 
18/05/2022 15:53,1,2, , ,0.001,0
18/05/2022 15:54,1,1,391, , , 
18/05/2022 15:54,1,2, , ,0,0
18/05/2022 15:55,1,1,391, , , 
18/05/2022 15:55,1,2, , ,0.01,0.001
18/05/2022 15:56,1,1,394, , , 
18/05/2022 15:56,1,2, , ,0,0
18/05/2022 15:57,1,1,391, , , 
18/05/2022 15:57,1,2, , ,0,0
18/05/2022 15:58,1,1,391, , , 
18/05/2022 15:58,1,2, , ,0.004,0.001
18/05/2022 15:59,1,1,394, , , 
18/05/2022 15:59,1,2, , ,0,0
18/05/2022 16:00,1,1,396, , , 
18/05/2022 16:00,1,2, , ,0,0
18/05/2022 16:01,1,1,396, , , 
18/05/2022 16:01,1,2, , ,0.001,0.001
18/05/2022 16:02,1,1,391, , , 
18/05/2022 16:02,1,2, , ,0,0
18/05/2022 16:03,1,1,394, , , 
18/05/2022 16:03,1,2, , ,0.001,0
18/05/2022 16:04,1,1,396, , , 
18/05/2022 16:04,1,2, , ,0,0
18/05/2022 16:05,1,1,401, , , 
18/05/2022 16:05,1,2, , ,0,0
18/05/2022 16:06,1,1,399, , , 
18/05/2022 16:06,1,2, , ,0.001,0.001
18/05/2022 16:07,1,1,396, , , 
18/05/2022 16:07,1,2, , ,0.001,0.001
18/05/2022 16:08,1,1,396, , , 
18/05/2022 16:08,1,2, , ,0.001,0.001
18/05/2022 16:09,1,1,391, , , 
18/05/2022 16:09,1,2, , ,0.001,0.001
18/05/2022 16:10,1,1,391, , , 
18/05/2022 16:10,1,2, , ,0.001,0
18/05/2022 16:11,1,1,391, , , 
18/05/2022 16:11,1,2, , ,0,0
18/05/2022 16:12,1,1,391, , , 
